us_id,us_pass,us_fname,us_lname,us_bday,us_doc,us_doc_type,us_username,us_role,us_program_code,us_program_name,us_faculty_code,us_faculty_name,us_created_at,us_active
1,password1,Ruby,Moreno,1984-09-04,72140347,CC,luzmurcia10,Estudiante,16,Ingenieria mecatronica,1,Ingeniería,2017-07-06 19:48:38,1
2,password2,Wendy,Sánchez,1989-07-22,95593395,CC,fernanda7115,Estudiante,12,Ingenieria electrica,1,Ingeniería,2019-12-15 23:40:47,1
3,password3,Danilo,Ariza,2000-04-22,24763587,CC,tcorrea3,Estudiante,22,Terapia ocupacional,3,Medicina,2018-09-04 07:30:24,1
4,password4,Diana,Jiménez,1988-01-21,95253460,CC,morenoestella7,Estudiante,17,Ingenieria quimica,1,Ingeniería,2018-07-31 20:45:56,1
5,password5,Hernando,Pérez,1986-02-21,25312312,CC,jarevalo19,Estudiante,10,Ingenieria civil,1,Ingeniería,2021-11-02 00:35:32,1
6,password6,Eduardo,Arias,1989-01-20,70169332,CC,gonzalezjhonny12,Estudiante,9,Ingenieria agricola,1,Ingeniería,2022-03-21 19:27:36,1
7,password7,Arley,Córdoba,1986-12-03,93996669,CC,ypinzon8,Profesor,14,Ingenieria industrial,1,Ingeniería,2019-11-16 20:52:13,1
8,password8,Alicia,Gutiérrez,2004-08-12,27448606,CC,cardonavirginia0,Estudiante,20,Medicina,3,Medicina,2022-05-11 16:34:11,1
9,password9,Felipe,Aguilar,1998-07-26,27803380,CC,munozyolanda13,Profesor,20,Medicina,3,Medicina,2020-09-05 23:27:31,1
10,password10,Angie,Martínez,1995-05-25,22721376,CC,fannygutierrez3,Estudiante,19,Fonoaudiologia,3,Medicina,2021-03-17 11:00:15,1
11,password11,Javier,Valencia,1994-09-17,66939596,CC,fabiola994,Profesor,13,Ingenieria electronica,1,Ingeniería,2019-05-11 20:35:03,1
12,password12,Valeria,Rodríguez,1991-03-10,83354278,CC,otorres7,Estudiante,12,Ingenieria electrica,1,Ingeniería,2022-05-13 18:50:44,1
13,password13,Jaime,Rodríguez,1985-01-25,17277609,CC,jose5814,Estudiante,9,Ingenieria agricola,1,Ingeniería,2017-04-27 09:14:51,1
14,password14,Víctor,Hernández,1983-09-22,96875272,CC,serranoalejandro19,Profesor,16,Ingenieria mecatronica,1,Ingeniería,2018-07-12 15:26:18,1
15,password15,Ángela,Ospina,2005-10-30,28562479,CC,kgomez0,Estudiante,14,Ingenieria industrial,1,Ingeniería,2017-01-14 14:38:47,1
16,password16,Carmenza,Sánchez,1990-01-09,55302097,CC,orlandocastro15,Profesor,21,Nutrición y dietetica,3,Medicina,2020-11-10 16:19:00,1
17,password17,Bladimir,Rivas,1989-04-23,40045572,CC,juanocampo6,Estudiante,18,Fisioterapia,3,Medicina,2018-11-17 08:07:30,1
18,password18,Franklin,Muñoz,1999-07-31,98902268,CC,fernando7812,Profesor,13,Ingenieria electronica,1,Ingeniería,2017-04-05 02:14:47,1
19,password19,Laura,Ayala,1992-07-03,66132741,CC,nestor842,Estudiante,19,Fonoaudiologia,3,Medicina,2017-02-08 03:40:33,1
20,password20,Alejandra,Muñoz,1985-04-21,28300702,CC,afuentes11,Estudiante,12,Ingenieria electrica,1,Ingeniería,2020-08-12 14:43:03,1
21,password21,Efrain,Romero,1983-07-27,57373573,CC,sebastian666,Estudiante,17,Ingenieria quimica,1,Ingeniería,2017-08-05 10:51:11,1
22,password22,María,Rivera,2001-07-28,31124869,CE,orlando3313,Estudiante,18,Fisioterapia,3,Medicina,2022-02-22 17:16:21,1
23,password23,Ruth,Cáceres,1987-05-29,90577867,CC,luciarenteria18,Estudiante,9,Ingenieria agricola,1,Ingeniería,2017-08-19 17:39:34,1
24,password24,Hernán,Garzón,1994-12-01,77894046,CC,julio800,Estudiante,22,Terapia ocupacional,3,Medicina,2021-04-12 08:37:35,1
25,password25,Carlos,González,1991-06-16,92467322,CC,pespinosa13,Estudiante,12,Ingenieria electrica,1,Ingeniería,2021-10-10 16:12:42,1
26,password26,Sonia,Peña,2002-06-03,33338391,CC,esther046,Profesor,18,Fisioterapia,3,Medicina,2019-11-05 11:15:34,1
27,password27,Yamile,Moreno,2004-12-03,35775514,CC,liliasolano4,Estudiante,20,Medicina,3,Medicina,2021-01-10 13:50:00,1
28,password28,José,Granados,2001-04-30,14823328,CC,angelicalopez0,Estudiante,10,Ingenieria civil,1,Ingeniería,2022-01-05 17:45:10,1
29,password29,María,Cabrera,2002-04-20,18785223,CC,nelly8315,Profesor,18,Fisioterapia,3,Medicina,2021-07-01 03:58:24,1
30,password30,Jefferson,Fuentes,1988-05-20,69099174,CC,luisgarcia9,Estudiante,18,Fisioterapia,3,Medicina,2023-03-13 21:32:13,1
31,password31,Alexis,Sánchez,1991-04-13,73176187,CC,wbetancur0,Profesor,20,Medicina,3,Medicina,2016-06-26 03:38:40,1
32,password32,Leidy,Rivas,1989-02-26,61870941,CC,perezmaria16,Estudiante,14,Ingenieria industrial,1,Ingeniería,2018-03-14 16:08:42,1
33,password33,Carlos,Flórez,1990-03-25,29048525,CC,nelsonagudelo5,Estudiante,21,Nutrición y dietetica,3,Medicina,2021-07-08 13:27:14,1
34,password34,Amparo,Castillo,2002-11-29,44733743,CC,qbarragan17,Profesor,15,Ingenieria mecanica,1,Ingeniería,2017-01-03 00:35:46,1
35,password35,Zoraida,Sierra,2003-01-24,57880293,CC,rosa9612,Estudiante,11,Ingenieria de sistemas,1,Ingeniería,2022-02-09 08:28:49,1
36,password36,Yaneth,Daza,1992-07-21,70695739,CC,fidelmontenegro17,Profesor,17,Ingenieria quimica,1,Ingeniería,2022-12-08 23:54:45,1
37,password37,Gloria,Gómez,1989-08-17,62595377,CC,esmeralda6812,Estudiante,22,Terapia ocupacional,3,Medicina,2019-04-24 11:03:13,1
38,password38,María,Núñez,2000-07-01,77099880,CC,arroyosebastian6,Estudiante,22,Terapia ocupacional,3,Medicina,2018-11-11 08:24:36,1
39,password39,Kevin,Cruz,1994-11-09,98607710,CC,danielavergara9,Profesor,12,Ingenieria electrica,1,Ingeniería,2016-09-13 16:43:22,1
40,password40,Diego,Beltrán,1984-11-29,51235782,CC,andres3910,Estudiante,11,Ingenieria de sistemas,1,Ingeniería,2021-01-28 07:57:23,1
41,password41,Fabián,Prada,1986-12-13,25895713,CC,guevaracarolina12,Estudiante,13,Ingenieria electronica,1,Ingeniería,2019-11-08 22:17:26,1
42,password42,Pedro,Gómez,1992-10-06,54399514,CC,qcordoba1,Estudiante,18,Fisioterapia,3,Medicina,2019-02-26 21:26:06,1
43,password43,Fernando,Herrera,2006-10-23,74322513,TI,nelsonbermudez6,Estudiante,14,Ingenieria industrial,1,Ingeniería,2016-09-15 10:35:34,1
44,password44,Julián,Delgado,1987-10-12,33573215,CC,rodriguezluis16,Estudiante,15,Ingenieria mecanica,1,Ingeniería,2017-12-04 21:51:24,1
45,password45,Patricia,Ávila,2001-10-22,95200577,CC,zangulo19,Estudiante,22,Terapia ocupacional,3,Medicina,2020-01-26 13:59:47,1
46,password46,Martha,Montes,1988-07-06,33563293,CC,tovarelias18,Estudiante,17,Ingenieria quimica,1,Ingeniería,2021-01-05 18:27:01,1
47,password47,Vilma,Parra,1986-01-30,24233900,CC,benavidesalberto19,Estudiante,12,Ingenieria electrica,1,Ingeniería,2017-08-12 07:12:38,1
48,password48,Sonia,Rivera,2004-09-30,93984461,CE,quinteroandrea19,Profesor,20,Medicina,3,Medicina,2021-06-16 21:16:40,1
49,password49,Andrés,Cardona,1988-02-14,28452049,CE,luisvargas8,Estudiante,14,Ingenieria industrial,1,Ingeniería,2019-04-21 08:39:25,1
