us_id,us_pass,us_fname,us_lname,us_bday,us_doc,us_doc_type,us_username,us_role,us_program_code,us_program_name,us_faculty_code,us_faculty_name,us_created_at,us_active
1,password1,Adolfo,Marín,2004-11-10,6396269628,CC,trueda,Profesor,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,2017-12-04 03:20:12,1
2,password2,Patricia,Contreras,2005-10-10,5608768562,CC,arrietajavier,Profesor,2515,FARMACIA,2050,FACULTAD DE CIENCIAS,2016-06-26 04:57:35,1
3,password3,Francisco,Salazar,1986-09-21,2105528697,CC,ejaramillo,Estudiante,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,2020-08-11 19:13:24,1
4,password4,Julián,Campo,2003-04-09,7359553556,CC,vasquezmario,Profesor,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,2019-07-27 23:36:01,1
5,password5,John,Cardona,2006-12-10,6624030271,CC,gpinto,Estudiante,2513,BIOLOGÍA,2050,FACULTAD DE CIENCIAS,2017-04-17 16:28:27,1
6,password6,Johan,Hurtado,1989-03-13,7858582248,CC,ivanparra,Estudiante,2507,ARTES PLÁSTICAS,2049,FACULTAD DE ARTES,2018-09-16 07:14:24,1
7,password7,Alberto,Gaviria,2006-06-28,2133003225,CC,rojasyohana,Estudiante,2518,MATEMÁTICAS,2050,FACULTAD DE CIENCIAS,2018-07-16 03:42:26,1
8,password8,Andrés,Camacho,2003-03-06,8433360512,CC,jhon75,Estudiante,2517,GEOLOGÍA,2050,FACULTAD DE CIENCIAS,2016-11-12 18:44:21,1
9,password9,Esperanza,Díaz,2002-10-31,5490415105,CC,jhon61,Profesor,2879,INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,2055,FACULTAD DE INGENIERÍA,2016-07-31 07:13:03,1
10,password10,Iván,Marín,1984-12-13,4756127496,CC,marina11,Estudiante,2513,BIOLOGÍA,2050,FACULTAD DE CIENCIAS,2022-06-01 04:02:02,1
